propertyId;propertyType;district;coords
1638498;Apartamento; Ciutat Vella, Valencia;-0.378308119561211,39.4791091587916
1643960;Albergue; Extramurs, Valencia;-0.385952636260754,39.4749721346006
1647017;Albergue; Extramurs, Valencia;-0.37821261749275,39.4665275925928
1648016;Apartamentos; Ciutat Vella, Valencia;-0.37752879629511,39.4713587782632
1656378;Apartamentos; Ciutat Vella, Valencia;-0.381953588360602,39.4752485526794
1663785;Hostal o pensión; Ciutat Vella, Valencia;-0.375838619402771,39.4728377432168
1674495;Apartamento; Quatre Carreres, Valencia;-0.372143089771271,39.4571204531375
1682520;Apartamento; Ciutat Vella, Valencia;-0.375759050266652,39.4734727117388
1684198;Hostal o pensión; Ciutat Vella, Valencia;-0.375862783797288,39.4747361346407
1687820;Apartamentos; Ciutat Vella, Valencia;-0.37478213005943,39.4735016591057
1698355;Apartamento; Ciutat Vella, Valencia;-0.375631493991364,39.4706425660057
1698817;Apartamento; El Pla del Real, Valencia;-0.358800763233603,39.4678387572362
1702092;Apartamento; Ciutat Vella, Valencia;-0.379786896477754,39.4799772066882
1710137;Albergue; Extramurs, Valencia;-0.377515461535609,39.4665674009309
1710241;Hotel; Ciutat Vella, Valencia;-0.37655632942915,39.471297560124
1712323;Apartamento; Ciutat Vella, Valencia;-0.379521989397858,39.4717045401499
1728697;Apartamento; Poblados marítimos, Valencia;-0.337797424536916,39.459433202501
1736257;Apartahotel; Ciutat Vella, Valencia;-0.374787153372949,39.4748045479585
1737254;Apartamento; Ciutat Vella, Valencia;-0.378053065390532,39.4791473328754
1741479;Hotel; Ciutat Vella, Valencia;-0.376085900000021,39.4738758
1743173;Apartamentos; Ciutat Vella, Valencia;-0.37902295589447,39.4715892430069
1755231;Apartamentos; Ciutat Vella, Valencia;-0.379907845829052,39.4752882387314
1760119;Apartamento; Ciutat Vella, Valencia;-0.37663630196073,39.4739532619058
1765516;Apartamento; Ciutat Vella, Valencia;-0.377476131352296,39.4708598562619
1769176;Apartamento; Ciutat Vella, Valencia;-0.380678253372935,39.4732250295446
1774062;Apartamento; Ciutat Vella, Valencia;-0.378456927035813,39.4701487206137
1793012;Apartamentos; Poblados marítimos, Valencia;-0.337319858033538,39.4599549672554
1803435;Apartamento; Ciutat Vella, Valencia;-0.378057238539213,39.4724506870794
1807919;Apartamento; Ciutat Vella, Valencia;-0.381859036608262,39.4745880881564
1811784;Apartamento; Quatre Carreres, Valencia;-0.370159609192683,39.4474748956668
1819642;Apartamento; Ciutat Vella, Valencia;-0.381811003704797,39.4730085124304
1840715;Apartamento; Ciutat Vella, Valencia;-0.375486574060687,39.478316130739
1907504;Apartamentos; Poblados marítimos, Valencia;-0.335410874857075,39.4632396671299
1908021;Apartamento; Ciutat Vella, Valencia;-0.377003595700899,39.4736074785673
1912738;Apartamento; Extramurs, Valencia;-0.391249093145689,39.474638610544
1918694;Apartamento; Ciutat Vella, Valencia;-0.378351535581942,39.4729722647685
1923141;Apartamento; Ciutat Vella, Valencia;-0.381247700000017,39.4726542
1957253;Apartamento; Extramurs, Valencia;-0.380137307917607,39.4625909987035
1957258;Apartamento; Poblados marítimos, Valencia;-0.329197783258792,39.4735354785034
1979067;Apartamento; Extramurs, Valencia;-0.379127700000026,39.4655893
1985143;Apartamento; Ciutat Vella, Valencia;-0.378556926562624,39.4783485573442
2006333;Apartamento; Eixample, Valencia;-0.376636899999994,39.4600844
2010355;Apartamento; Eixample, Valencia;-0.37213449832052,39.4621515686357
2024765;Apartamento; Extramurs, Valencia;-0.384771852911513,39.4784248685102
2029143;Apartamento; Eixample, Valencia;-0.367704979623454,39.4611945684636
2040126;Casa o chalet; Poblados marítimos, Valencia;-0.32918397976232,39.4706330299431
2062186;Apartamentos; Camins al Grau, Valencia;-0.346015296329824,39.4621083460695
2064099;Apartamentos; Ciutat Vella, Valencia;-0.378400928488873,39.471632958697
2065367;Apartamento; Camins al Grau, Valencia;-0.345763564109802,39.4608830718559
2065570;Apartamento; Poblados marítimos, Valencia;-0.331134796142578,39.4636929274203
2076095;Apartamento; Quatre Carreres, Valencia;-0.364565008945419,39.4611682022824
2079019;Apartamento; Ciutat Vella, Valencia;-0.377098861865647,39.4726168768281
2093863;Apartamento; La Saïdia, Valencia;-0.370261832471442,39.482051624054
2094497;Albergue; Camins al Grau, Valencia;-0.339560812966965,39.4631223671223
2106449;Apartamento; La Saïdia, Valencia;-0.377164318129303,39.4832091381976
2112386;Casa o chalet; Poblados marítimos, Valencia;-0.331410641872367,39.4683789830754
2118880;Hotel; Ciutat Vella, Valencia;-0.375408992558846,39.4729746890462
2125836;Apartamentos; Poblados marítimos, Valencia;-0.329623284655781,39.4667353602588
2130930;Apartamentos; Ciutat Vella, Valencia;-0.374600358895464,39.476849759305
2132386;Apartamento; Ciutat Vella, Valencia;-0.382122587415324,39.4757188350167
2142556;Apartamento; Ciutat Vella, Valencia;-0.377188533889694,39.4703743326729
2147948;Apartamento; Ciutat Vella, Valencia;-0.379624713491808,39.4792738433097
2156905;Apartamento; Poblados marítimos, Valencia;-0.326089941104556,39.4666866711781
2160386;Apartamento; Ciutat Vella, Valencia;-0.38180110890255,39.4761122356248
2174625;Apartamento; Olivereta, Valencia;-0.405419775463088,39.468951452833
2185255;Apartamento; Extramurs, Valencia;-0.385167817790943,39.4742996887298
2187491;Apartamentos; Ciutat Vella, Valencia;-0.379973254166543,39.4750058144715
2194645;Apartamentos; Algirós, Valencia;-0.345021022456535,39.4745663794361
2201908;Apartamento; Extramurs, Valencia;-0.383808913823032,39.465468402098
2203530;Bed & breakfast; Ciutat Vella, Valencia;-0.380392598112849,39.4730987316466
2204361;Bed & breakfast; Eixample, Valencia;-0.371375944485294,39.4631212615918
2205541;Apartamento; Poblados marítimos, Valencia;-0.329533852636814,39.4688653120775
2223557;Apartamento; Ciutat Vella, Valencia;-0.376620112196861,39.4790859572403
2227491;Bed & breakfast; Eixample, Valencia;-0.365984840440774,39.4693579294296
2236348;Apartamento; Ciutat Vella, Valencia;-0.372419900000068,39.4727033
2241282;Apartamento; Ciutat Vella, Valencia;-0.379937700000028,39.4752878
2244083;Apartamentos; Ciutat Vella, Valencia;-0.379998346627076,39.4778556905805
2250421;Apartamentos; Ciutat Vella, Valencia;-0.377347727793904,39.4777419490828
2250906;Apartamento; Ciutat Vella, Valencia;-0.38302079999994,39.4774788
2263360;Apartamento; Algirós, Valencia;-0.348849110305309,39.4699618077155
2263771;Apartamento; Ciutat Vella, Valencia;-0.377912798776606,39.4749527744482
2269176;Hostal o pensión; Eixample, Valencia;-0.374127924442291,39.4638782583241
2274203;Hotel; Ciutat Vella, Valencia;-0.37812560178304,39.4720668663669
2275006;Hostal o pensión; Extramurs, Valencia;-0.387899128667414,39.4748042780161
2291245;Hostal o pensión; Ciutat Vella, Valencia;-0.382152473610631,39.4789912188651
2298621;Apartamento; Camins al Grau, Valencia;-0.339547582113937,39.4637941631417
2314366;Apartamentos; Ciutat Vella, Valencia;-0.376485929361024,39.4732689601361
2314984;Apartamento; Eixample, Valencia;-0.37481630000002,39.4609174
2314997;Apartamento; Poblados marítimos, Valencia;-0.328167529430402,39.4766879592953
2317861;Apartamento; Poblados marítimos, Valencia;-0.330016266235702,39.4635136401624
2324552;Hostal o pensión; Eixample, Valencia;-0.369453907078423,39.4635921547475
2334726;Hotel; Ciutat Vella, Valencia;-0.37696436047554,39.4715802492539
2354745;Apartamentos; Camins al Grau, Valencia;-0.346646105686204,39.4627646665531
2358858;Apartamentos; Ciutat Vella, Valencia;-0.376023700000019,39.4760981
2358973;Apartamento; Eixample, Valencia;-0.373821250234187,39.4653418506277
2369040;Apartamento; Ciutat Vella, Valencia;-0.379958644180306,39.4765930858402
2373701;Apartamento; Eixample, Valencia;-0.368603329360894,39.4684237355069
2380447;Apartamento; Ciutat Vella, Valencia;-0.382287600000041,39.472605
2381901;Apartamento; Valencia;-0.413153958860789,39.4774089209087
2389776;Bed & breakfast; Ciutat Vella, Valencia;-0.371177494525909,39.4751468281466
2391685;Hotel; Ciutat Vella, Valencia;-0.372259500000041,39.477008
2426154;Apartamento; Patraix, Valencia;-0.388346314430237,39.464414188
2448036;Apartamento; Benicalap, Valencia;-0.396730899810791,39.4936022064171
2459807;Hostal o pensión; Ciutat Vella, Valencia;-0.371461473405361,39.4743430454596
2461160;Apartamento; Playa de la Malvarrosa, Valencia;-0.327217900000051,39.4889626
2466364;Casa o chalet; Valencia;-0.413376699999958,39.6494581
2467712;Apartamento; Poblados marítimos, Valencia;-0.334450006484985,39.4522977527341
2471259;Apartamento; Ciutat Vella, Valencia;-0.377673758895526,39.4749869928227
2523871;Apartamento; Poblados marítimos, Valencia;-0.32630979999999,39.470953
2523881;Apartamento; Poblados marítimos, Valencia;-0.327849885359683,39.4800588609752
2524985;Apartamento; Extramurs, Valencia;-0.39256249999994,39.4754997
2526514;Apartamento; Poblados marítimos, Valencia;-0.327299100000005,39.4776179
2532733;Apartamento; Poblados marítimos, Valencia;-0.32953729999997,39.4710761
2542826;Apartamento; Poblados marítimos, Valencia;-0.333983699999976,39.4490254
2544713;Apartamento; Ciutat Vella, Valencia;-0.371128499999941,39.4754427
2549783;Apartamento; Jesús, Valencia;-0.382807100000036,39.4561398
2550483;Apartamento; Ciutat Vella, Valencia;-0.376578699999982,39.4779253
2550955;Apartamento; Eixample, Valencia;-0.374768000000017,39.4609526
2551179;Apartamento; Eixample, Valencia;-0.376358767971397,39.4631865004435
2551194;Apartamento; Extramurs, Valencia;-0.389094315469265,39.4694257913528
2552406;Apartamento; Poblados marítimos, Valencia;-0.32728069999996,39.4813542
2556080;Apartamento; Quatre Carreres, Valencia;-0.362239700000032,39.4607476
2565246;Apartamento; Playa de la Malvarrosa, Valencia;-0.325832819049083,39.4863895173443
